id,albumName,description,missing_tz_count,earliest,latest,offset,action
c7304ddb-a013-4ea2-aa5e-d4a2b0998901,Family History: Watkins,,681,2005-06-05,2022-04-11,,
ecbd2682-1540-424a-8e4b-a7f298506dad,Vacation: 2013,"Northern California, Zion NP, Bryce NP",533,2013-07-10,2013-07-22,,
63b71fe5-bdcb-4f75-9d1c-eb711d4525dc,Family Reunion,,449,2007-08-17,2019-07-05,,
617add6d-5ceb-41d0-8556-33c2a5b52635,Tour: 2017,"OR-ID-WY-MT: Craters of the Moon NP, Martin's Cove, Yellowstone NP, Beartooth Pass, Glacier NP",444,2017-07-19,2026-05-20,,
5fb13d3b-980a-4ee2-8879-7b6c6f507ca7,Wedding: Andrew & Tomi,,409,2010-02-16,2014-07-16,,
edfae57b-8e10-4bc0-aa36-9e38cd9824fc,Wedding: Phillip & Ashley,,344,2013-11-05,2015-07-10,,
0ab78100-d22a-4269-8143-1c3ef6836a94,Mission: Andrew,,302,2007-12-08,2014-07-16,,
e3141a74-393d-4f4d-ab69-c535e9058050,Andrew Passing,,173,2014-07-18,2014-07-22,,
bc4e4c31-f023-4170-b1db-183ef7a92b93,Vacation: 2014,Washington DC,147,2014-06-01,2014-06-14,,
72f00f3c-8bd8-44cb-9db3-61bd559576fb,Mission: Steven (Brazil),,134,2004-09-06,2004-09-11,,
6dc99d3b-6aa0-4611-abe5-c7f7458d2cc2,Phillip & Ashley,,128,2013-10-18,2013-10-18,,
48539e47-7ac7-43fe-8952-418d6adda302,Jeff & Sharla Slide Show,,92,2007-06-10,2007-06-13,,
ff7c6f7e-9b55-4c36-a0f5-8dc58b55ab7c,Andrew Slide,,84,2003-06-07,2014-07-18,,
26c9af8c-03f8-40b7-a781-25bfac1db2d7,Mission: Jared,,64,2003-06-07,2006-05-13,,
0f3695f1-ae9a-429b-a680-b911aa63d465,Marissa,,63,2008-03-20,2008-03-20,,
3041a999-db5c-4ac9-89ff-edd9205c58b3,Wedding: Sharla & Jeff,,62,2006-03-09,2007-06-30,,
b6efeaaf-39cf-4587-9635-601fabdd4ae2,Vacation: 2008,Seattle,54,2008-07-18,2008-07-18,,
cb0a9d91-f6d0-4ebc-a5d0-103aaa5e62b9,Tour: 2017,Oregon Airport Tour,48,2017-08-14,2017-08-16,,
c22bc2d7-296f-4257-8d09-f3a33edf1187,Tiger Cruise,,48,2011-03-09,2011-03-20,,
3f769579-5763-4e34-8e29-dada2b230b0a,Silver Creek Falls,,46,2003-07-22,2003-07-25,,
59236a01-926d-4ff6-9141-89ba21607314,Eagle Project: Phillip,,44,2008-07-26,2008-08-09,,
14ba7c0e-52e6-4907-ad7d-d6809cba87e7,Vacation: 2014,"Fort McHenry.  We visited here during the trip to DC to visit Steven.",43,2014-06-09,2014-06-09,,
38fa5524-3cd7-4b11-984e-7d75aa70cdfa,Vacation: 2019,Portugal & Azores,39,2019-09-12,2019-09-20,,
0dc04784-3dd5-4f27-a1d6-0dca00d5fa34,BOWS Handcart Trek,,37,2007-08-02,2007-08-04,,
36bef266-8218-496f-b7a7-6cc3f64f0bdb,Tour: 2016,CA-NV-ID-OR,33,2016-04-11,2016-04-16,,
3fcf487e-6375-43c0-9ab6-2b4724d3fd6d,Tour: 2018,Angels Camp,31,2018-04-15,2018-04-21,,
eaff9383-21d0-4648-858b-f14b17568030,Tour: 2015,Canada,29,2015-08-15,2015-08-25,,
6103dd8d-5f02-489c-aca1-8858294e162b,Wedding: Jared & Marissa,,28,2008-03-18,2008-03-20,,
46a6603f-8fbb-47c4-a26b-8a0f11107443,Tour: 2017,Backroads,28,2017-08-14,2017-08-16,,
25954471-913b-4a19-92f0-caa3800ecb48,Air Show: McChord,,28,2012-07-21,2012-07-21,,
d455c4f3-f3ac-447f-aaa2-26d37e5fa5e1,Graduation: Jared,,27,2003-06-01,2009-03-28,,
1aa983d6-0f7e-4bfa-8fb6-212beeddcc84,Jared,,27,2008-02-28,2008-02-28,,
708f1859-3330-41d6-974d-abf7f8cf6dcc,Vulcan Accident,,26,2006-08-07,2006-08-07,,
8060d7c8-26d9-4003-97a9-c58a143c6947,Wedding: Steven & Jill,,24,2006-12-02,2006-12-16,,
cbafdf30-45b4-4da5-8c4b-408334bde73f,Tour: 2015,Leavenworth,24,2015-06-01,2015-06-02,,
a6a02ace-ebd7-41e2-b357-e1868d84b2b4,Vacation: 2009,Zip Trip,24,2009-09-17,2009-09-18,,
13c26bbf-491d-48b3-b553-faa0e36e570d,Cascade Head,,23,2011-08-27,2011-08-27,,
6ecea3d5-cc25-4a1d-ad3f-93677f6749e0,House: Beaverton,"Views of the house including the process of painting and updating the house and the work done to redo the interior to prepare it for sale.",19,2010-08-06,2013-07-31,,
7a177cdc-c267-47d6-b149-107bd81ed1a2,Eagle Creek Falls,,19,2003-09-01,2003-09-01,,
f5a538f4-110e-4ebe-bab2-454375eed8cf,Vacation: 2005,"Trip to pick up Jared from his mission in Louisville, KY",19,2005-08-18,2005-09-02,,
6a38508b-5608-4e89-b5c9-97f3d027151b,Drift Falls,,19,2014-08-02,2014-08-02,,
5fa3a4e8-ec83-4091-8494-13b82f54f8b9,Family History: Barnes/Sheffield,,18,2003-12-29,2009-03-28,,
eaca2bff-c963-4da5-8467-64038ac17047,Attention!,,17,2003-12-29,2026-05-20,,skip
db016ed0-5c7c-403b-b8bb-7202eb8fe53a,Tour: 2018,,14,2018-08-28,2018-09-03,,
19407b1b-fa59-44ca-aed3-98abd06b5fea,Circus,,12,2011-09-17,2011-09-17,,
76f47e33-5732-432a-b7d0-bc3a6db04e5e,Graduation: Phillip,,12,2009-06-07,2009-06-09,,
eb7fb76a-9be7-43a1-814b-e1f470d7a894,Boundary Dam,,9,2019-07-08,2019-07-08,,
12709db6-a381-4908-a048-1b7e8a240c34,Ride: Columbia River,,9,2014-07-12,2014-07-12,,
9cc0bff1-1d65-475c-9dcb-6e39cfd2d091,Ride: Mt. St. Helens,,8,2017-12-09,2017-12-09,,
3cb92783-581c-465e-95ec-9b597c6bfba1,Stone House Hike,,8,2014-07-07,2014-07-07,,
7c3f9fcb-78af-4515-92bd-b4dc7e533886,Barnes2,,8,2025-10-19,2026-07-21,,
ce364bab-b0e2-41d2-9584-0a57d4510ffb,Schroeder Retirement,,7,2014-06-06,2014-06-06,,
6cc8b047-1fde-49d0-a76e-0ca0b1a10add,Ride: Beaverton,,7,2003-08-23,2003-08-23,,
235700ee-9ea9-4cb4-8909-c48d0e7e8272,Portraits,,6,2026-01-17,2026-07-12,,
43100708-1797-44e4-b04e-8e00f39ec72d,ATV Fun,,5,2019-07-03,2019-07-05,,
4b0734b3-32ab-4366-a181-b2ee7e50c73b,Tour: 2019,Canada,5,2019-08-15,2019-08-15,,
c1a8f9de-a9b1-4a29-ae53-ad61a876fed0,Tour: 2017,Windsor,4,2017-05-03,2017-05-06,,
8f27f276-700f-4a00-8423-adb79433057c,Vehicles,,4,2015-02-14,2019-07-03,,
7f876ca3-b8f9-445c-8e3a-ba439de4a674,Vacation: 2010,"Trip to Chicaogo for Andrew's graduation from boot camp.  We took Tomi with us so she could be there and they travel back together.  We hung around in the area for a while.",3,2010-09-10,2010-09-10,,
d8e18301-09ed-42c2-a980-47e012dc6f1c,Mission: Jaren,,3,2025-06-10,2025-06-10,,
a7db76f4-6368-4c9e-bd43-13fd7988e0de,Vacation: 2016,Road trip to Colorado and Southern Utah,3,2016-07-02,2016-07-04,,
c6661bad-7087-4a00-ad54-180a1930fcae,Vacation: 2023,Cruise to Cabo and Ensenada,3,2023-02-12,2023-02-12,,
19a98a6d-e6c6-4e8e-98d4-58eec320ef53,Vacation: 2018,Grand Canyon,2,2018-05-07,2018-05-09,,
076776ce-dae0-42f3-a3fc-80ed95473a0d,Ride: Astoria w Andrew,,2,2014-07-08,2014-07-08,,
03ee8745-62c2-4626-8390-89c7b9567885,Navy Years,,2,2004-04-12,2004-04-12,,
1c41b1ca-9a57-46fc-9e35-c099bb6ad5c9,Wedding: Matthew & Danica,,1,2002-06-29,2002-06-29,,
f568c0da-a31a-4e72-9476-c3733f0af841,Graduation: Andrew,,1,2014-07-16,2014-07-16,,
9ee27adc-bb92-45f6-9d89-a86deb693fc3,Tour: 2018,Oregon Airport Tour,1,2018-07-20,2018-07-20,,
097ee9d9-fd42-4d58-aaae-b1c7ea7b56a2,Tour: 2016,Oregon Airport Tour,1,2016-03-19,2016-03-19,,
0cfd81ef-59bc-4f8b-bc08-69fdea2aeae1,Harmony Explosion,,1,2008-07-19,2008-07-19,,
